date;word;expression
2025-09-01;gargantuan;in a frenzy
2025-09-02;irate;go to pieces
2025-09-03;have-nots;take a nap
2025-09-04;word-of-mouth;written in stone
2025-09-05;lavishly;clear as mud
2025-09-06;wobbly;cut ties
2025-09-07;predicament;jump through hoops
2025-09-08;bric-a-brac;hot the books
2025-09-09;hasten;pick and choose
2025-09-10;mingle;nook and cranny
2025-09-11;thoroughfare;ready or not
2025-09-12;drowsy;take the hint
2025-09-13;condone;strike a chord
2025-09-14;remnant;speak one's mind
2025-09-15;gambit;on the payroll
