date;word;expression
2025-09-30;ébranler;faire cavalier seul
2025-10-01;diabolique;faire chou blanc
2025-10-02;hâtif;faire l'autruche
2025-10-03;florissant;faire la fine bouche
2025-10-04;déboussoler;faire son cinéma
2025-10-05;balbutier;fleur bleue
2025-10-06;éprouver;franchir le pas
2025-10-07;envahir;jeter l'éponge
2025-10-08;candide;lèche-vitrine
2025-10-09;candide;lèche-vitrine
2025-10-10;engrenage;passer l'éponge
2025-10-11;engrenage;passer l'éponge
2025-10-12;bafouer;poule mouillée
2025-10-13;candide;lèche-vitrine
2025-10-14;inattendu;rire jaune
2025-10-15;mitigé;tenir la chandelle
2025-10-16;obtus;vendre la mèche
2025-10-17;laconique;voir venir
2025-10-18;ensorcelant;y a pas photo
2025-10-19;ensorcelant;y a pas photo
2025-10-20;indicible;tenir tête
2025-10-21;glauque;cas d'école
2025-10-22;déferlement;en chantier
2025-10-23;déferlement;en chantier
2025-10-24;adjuger;à la va-vite
2025-10-25;adjuger;à la va-vite
2025-10-26;adjuger;à la va-vite
2025-10-27;exsangue;mine de rien
2025-10-28;cynique;par ricochet
2025-10-29;exaspérer;second degré
2025-10-30;accabler;tous azimuts
2025-10-31;faillir;train de vie
2025-11-01;faillir;train de vie
2025-11-02;bénévole;avoir à coeur
2025-11-03;fluctuer;changer d'air
2025-11-04;fluctuer;changer d'air
2025-11-05;exaucer;faire la tête
2025-11-06;hiberner;havre de paix
2025-11-07;discernement;mettre à plat
2025-11-08;détenir;perdre de vue
2025-11-09;bouleverser;avoir la pêche
2025-11-10;émerger;en avoir marre
2025-11-11;émerger;en avoir marre
2025-11-12;détracteur;poser un lapin
2025-11-13;flancher;à fleur de peau
2025-11-14;flancher;à fleur de peau
2025-11-15;égratigner;heure de pointe
2025-11-16;flancher;à fleur de peau
2025-11-17;flancher;à fleur de peau
2025-11-18;impudence;pièce maîtresse
2025-11-19;époustouflant;prendre à coeur
2025-11-20;affliger;refaire surface
2025-11-21;inflexible;tourner la page
2025-11-22;indéfectible;valoir la peine
2025-11-23;chancelant;ça fait un bail
2025-11-24;assidu;casser les pieds
2025-11-25;assidu;casser les pieds
2025-11-26;assidu;casser les pieds
2025-11-27;entamer;le tour est joué
2025-11-28;assourdir;maintenir le cap
2025-11-29;assourdir;maintenir le cap
2025-11-30;dignité;battre la chamade
2025-12-01;avisé;bien dans sa peau
2025-12-02;avisé;bien dans sa peau
2025-12-03;fervent;croiser les doigts
2025-12-04;épanoui;donner le feu vert
2025-12-05;dévouement;filer à l'anglaise
2025-12-06;dévouement;filer à l'anglaise
2025-12-07;dévouement;filer à l'anglaise
2025-12-08;dédain;remuer ciel et terre
2025-12-09;dédain;remuer ciel et terre
2025-12-10;languir;passer du coq à l'âne
2025-12-11;corvée;tourner autour du pot
2025-12-12;corvée;tourner autour du pot
2025-12-13;entrelacer;tomber dans les pommes
2025-12-14;épanchement;couper la poire en deux
2025-12-15;astucieux;donner sa langue au chat
2025-12-16;dubitatif;tirer son épingle du jeu
2025-12-17;intangible;à cheval sur
2025-12-18;dubitatif;tirer son épingle du jeu
2025-12-19;brisé;à tout casser
2025-12-20;intangible;à cheval sur
2025-12-21;bienveillance;avoir du bol
2025-12-22;instiller;avoir la main lourde
2025-12-23;déconcertant;avoir le nez creux
2025-12-24;abnégation;avoir un grain
2025-12-25;clivage;baisser les bras
2025-12-26;clivage;baisser les bras
2025-12-27;démêler;bouche bée
2025-12-28;démêler;bouche bée
2025-12-29;inepte;sur le vif
2025-12-30;inepte;sur le vif
2025-12-31;fiel;cas d'école
2026-01-01;fiel;cas d'école
2026-01-02;éprouvé;tenir tête
2026-01-03;entamer;cas d'école
2026-01-04;assourdir;en chantier
2026-01-05;zélé;usine à gaz
2026-01-06;zélé;usine à gaz
2026-01-07;avisé;fil d'Ariane
2026-01-08;avisé;fil d'Ariane
2026-01-09;avisé;fil d'Ariane
2026-01-10;épanoui;par ricochet
